"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","869","search for Testing","firefox","2026-05-26","passed","2026-05-26","paramertized test","example.spec.js","",""
"","1","search for fruits","webkit","2026-05-26","skipped","2026-05-26","jio mart test","example.spec.js","",""
"","739","search for Testing","chromium","2026-05-26","passed","2026-05-26","paramertized test","example.spec.js","",""
"","1679","search for Playwright","firefox","2026-05-26","passed","2026-05-26","paramertized test","example.spec.js","",""
"","0","profile","chromium","2026-05-26","skipped","2026-05-26","jio mart test","example.spec.js","",""
"","1797","search for Automation","firefox","2026-05-26","passed","2026-05-26","paramertized test","example.spec.js","",""
"","1195","search for Testing","webkit","2026-05-26","passed","2026-05-26","paramertized test","example.spec.js","",""
"","2040","polling assertions","firefox","2026-05-26","passed","2026-05-26","","example.spec.js","",""
"","884","search for Automation","chromium","2026-05-26","passed","2026-05-26","paramertized test","example.spec.js","",""
"","6798","search for Playwright","webkit","2026-05-26","passed","2026-05-26","paramertized test","example.spec.js","",""
"","1892","polling assertions","chromium","2026-05-26","passed","2026-05-26","","example.spec.js","",""
"","718","search for Playwright","chromium","2026-05-26","passed","2026-05-26","paramertized test","example.spec.js","",""
"","315","soft","webkit","2026-05-26","passed","2026-05-26","soft assertions","example.spec.js","",""
"","1","profile","firefox","2026-05-26","skipped","2026-05-26","jio mart test","example.spec.js","",""
"","106","soft","chromium","2026-05-26","passed","2026-05-26","soft assertions","example.spec.js","",""
"","0","search for fruits","firefox","2026-05-26","skipped","2026-05-26","jio mart test","example.spec.js","",""
"","1776","search for Automation","webkit","2026-05-26","passed","2026-05-26","paramertized test","example.spec.js","",""
"","1","profile","webkit","2026-05-26","skipped","2026-05-26","jio mart test","example.spec.js","",""
"","2","search for fruits","chromium","2026-05-26","skipped","2026-05-26","jio mart test","example.spec.js","",""
"","294","soft","firefox","2026-05-26","passed","2026-05-26","soft assertions","example.spec.js","",""
"","2079","polling assertions","webkit","2026-05-26","passed","2026-05-26","","example.spec.js","",""
